data_captura,data_referencia,indice,numero_indice,variacao_diaria,variacao_mensal,variacao_anual,variacao_ultimos_12_meses,variacao_ultimos_24_meses,duration_du,peso_geral,carteira_a_mercado_rs_mil,numero_operacoes,quant_negociada_1000_titulos,valor_negociado_rs_mil,pmr,convexidade,yield_,redemption_yield
2026-06-11,2026-06-10,IRF-M,22204.10568200,0.0334,-1.5002,2.7686,11.1913,22.0310,580,21.77,1792075370,754,61134.56,47883223.07,903.689439375172,8.91000832203077,14.7710124883686,14.9168487750922
2026-06-11,2026-06-10,IMA-B 5,11231.14757800,0.0945,-0.6556,5.5546,11.7413,21.6665,457,10.38,854449315,2171,9056.40,40631122.21,676.500366577274,6.16470894115744,9.35117915533906,8.71925091808538
2026-06-11,2026-06-10,IMA-B 5+,12287.30729000,0.6860,-2.7526,1.4693,7.1330,10.2270,2392,12.77,1050872751,969,2112.16,8611145.38,4716.45544330673,131.016742572838,7.86755455497382,7.77686870005122
2026-06-11,2026-06-10,IMA-B,11294.65748300,0.4199,-1.8232,3.2591,9.1881,14.8647,1524,23.15,1905322066,3140,11168.56,49242267.60,2904.72140050181,75.0263477917508,8.53289195209175,7.90353137139655
2026-06-11,2026-06-10,IMA-S,8634.85914600,0.0535,0.3763,6.1626,14.9596,29.0205,1,54.01,4445832132,614,1579.55,30214627.89,1,0,,
2026-06-11,2026-06-10,IMA-GERAL-EX-C,9903.58621800,0.1346,-0.5632,4.6861,12.6892,23.7398,485,98.93,8143229568,4508,73882.68,127340118.55,879.056047500671,19.5152010758149,,
2026-06-11,2026-06-10,IMA-GERAL,10046.39995800,0.1355,-0.5539,4.7110,12.6156,23.6339,489,100.00,8231473853,4508,73882.68,127340118.55,884.256478527795,19.4742398100206,,
2026-06-12,2026-06-11,IRF-M 1,20204.75442800,0.1069,0.3305,5.7798,14.3396,27.7209,90,6.23,515161925,90,21877.11,21095097.48,130.970664468813,0.438595463181152,14.2571468420973,14.2165260224527
2026-06-12,2026-06-11,IRF-M 1+,24159.12354600,1.0653,-1.1349,2.7496,11.0453,20.4830,779,15.60,1291072629,433,26667.94,18754893.69,1216.20606146573,12.4596217441885,14.5630175235622,14.5682949454481
2026-06-12,2026-06-11,IRF-M,22379.54028500,0.7901,-0.7219,3.5806,12.0019,22.7637,583,21.83,1806234554,523,48545.05,39849991.17,906.682608413368,9.0310664519203,14.4757791697668,14.5528236409051
2026-06-12,2026-06-11,IMA-B 5,11283.55731800,0.4666,-0.1920,6.0472,12.3646,22.1499,457,10.37,858436572,1144,4720.58,21194080.62,677.063079000399,6.20045667521906,9.03305053002396,8.47430374132862
2026-06-12,2026-06-11,IMA-B 5+,12553.63197300,2.1675,-0.6448,3.6686,9.1515,12.8611,2419,12.97,1073650186,1006,2797.34,11554719.82,4725.59935067888,134.166136729816,7.62702300430673,7.53848780794621
