data_captura,data_referencia,periodo,classe,segmento_investidor,tipo_metodologia,metrica,prazo,valor,data
2026-06-19,2026-04-30,04/2026,Ações,PRIVATE,Resgate Dados Consolidados,EWMA_94,4,0.003,2026/04/30
2026-06-19,2026-04-30,04/2026,Ações,VAREJO,Resgate Dados Consolidados,EWMA_97,4,0.0053,2026/04/30
2026-06-19,2026-04-30,04/2026,Cambial,PJ,Resgate Dados Consolidados,EWMA_94,10,0.0446,2026/04/30
2026-06-19,2026-04-30,04/2026,Cambial,PJ,Captação Líquida Dados Consolidados,EWMA_97,10,0.0421,2026/04/30
2026-06-19,2026-04-30,04/2026,Multimercados,PJ,Captação Líquida Dados Consolidados,EWMA_94,63,0.1401,2026/04/30
2026-06-19,2026-04-30,04/2026,RF DI,OUTROS,Captação Líquida Dados Consolidados,EWMA_94,1,0.011,2026/04/30
2026-06-19,2026-04-30,04/2026,Renda Fixa Crédito,EFPC,Resgate Dados Consolidados,EWMA_97,5,0.0034,2026/04/30
2026-06-19,2026-04-30,04/2026,Renda Fixa Crédito,INSTITUCIONAIS,Resgate Dados Consolidados,EWMA_97,21,0.0363,2026/04/30
2026-06-19,2026-04-30,04/2026,Ações,OUTROS,Resgate Dados Consolidados,media_simples,10,0.014,2026/04/30
2026-06-19,2026-04-30,04/2026,Renda Fixa,OUTROS,Resgate Dados Consolidados,media_simples,21,0.2648,2026/04/30
2026-06-19,2026-04-30,04/2026,Renda Fixa Crédito,PRIVATE,Captação Líquida Dados Consolidados,EWMA_94,21,0.0297,2026/04/30
2026-06-19,2026-04-30,04/2026,Multimercados,EFPC,Resgate Dados Consolidados,EWMA_97,126,0.1346,2026/04/30
2026-06-19,2026-04-30,04/2026,Multimercados,OUTROS,Captação Líquida Dados Consolidados,media_simples,4,0.0055,2026/04/30
2026-06-19,2026-04-30,04/2026,Multimercados,VAREJO,Captação Líquida Dados Consolidados,EWMA_97,10,0.0134,2026/04/30
2026-06-19,2026-04-30,04/2026,RF DI,OUTROS,Captação Líquida Dados Consolidados,EWMA_97,42,0.3864,2026/04/30
2026-06-19,2026-04-30,04/2026,Renda Fixa,OUTROS,Captação Líquida Dados Consolidados,EWMA_94,21,0.1068,2026/04/30
2026-06-19,2026-04-30,04/2026,Renda Fixa,PJ,Captação Líquida Dados Consolidados,EWMA_94,4,0.0139,2026/04/30
2026-06-19,2026-04-30,04/2026,Renda Fixa Crédito,VAREJO,Captação Líquida Dados Consolidados,media_simples,2,0.0035,2026/04/30
2026-06-19,2026-04-30,04/2026,Multimercados,INSTITUCIONAIS,Resgate Dados Consolidados,media_simples,5,0.0071,2026/04/30
2026-06-19,2026-04-30,04/2026,Multimercados,PRIVATE,Captação Líquida Dados Consolidados,media_simples,3,0.0034,2026/04/30
2026-06-19,2026-04-30,04/2026,RF DI,PJ,Captação Líquida Dados Consolidados,media_simples,1,0.0091,2026/04/30
2026-06-19,2026-04-30,04/2026,RF DI,VAREJO,Captação Líquida Dados Consolidados,EWMA_97,126,0.1936,2026/04/30
2026-06-19,2026-04-30,04/2026,Renda Fixa,OUTROS,Resgate Dados Consolidados,media_simples,1,0.0135,2026/04/30
2026-06-19,2026-04-30,04/2026,Renda Fixa Crédito,VAREJO,Resgate Dados Consolidados,media_simples,126,0.2617,2026/04/30
2026-06-19,2026-04-30,04/2026,Ações,OUTROS,Resgate Dados Consolidados,EWMA_97,126,0.1852,2026/04/30
2026-06-19,2026-04-30,04/2026,Ações,PRIVATE,Resgate Dados Consolidados,media_simples,5,0.0042,2026/04/30
2026-06-19,2026-04-30,04/2026,Multimercados,EFPC,Resgate Dados Consolidados,EWMA_97,21,0.0238,2026/04/30
2026-06-19,2026-04-30,04/2026,RF DI,VAREJO,Captação Líquida Dados Consolidados,media_simples,3,0.0046,2026/04/30
2026-06-19,2026-04-30,04/2026,Renda Fixa,PJ,Resgate Dados Consolidados,EWMA_97,4,0.0196,2026/04/30
2026-06-19,2026-04-30,04/2026,RF DI,INSTITUCIONAIS,Resgate Dados Consolidados,EWMA_97,3,0.012,2026/04/30
2026-06-19,2026-04-30,04/2026,RF DI,OUTROS,Captação Líquida Dados Consolidados,media_simples,126,1.0,2026/04/30
2026-06-19,2026-04-30,04/2026,Multimercados,INSTITUCIONAIS,Resgate Dados Consolidados,EWMA_97,4,0.0051,2026/04/30
2026-06-19,2026-04-30,04/2026,Multimercados,OUTROS,Resgate Dados Consolidados,EWMA_97,63,0.0843,2026/04/30
2026-06-19,2026-04-30,04/2026,Multimercados,VAREJO,Captação Líquida Dados Consolidados,EWMA_97,42,0.0558,2026/04/30
2026-06-19,2026-04-30,04/2026,Multimercados,OUTROS,Resgate Dados Consolidados,EWMA_94,5,0.0063,2026/04/30
2026-06-19,2026-04-30,04/2026,RF DI,INSTITUCIONAIS,Captação Líquida Dados Consolidados,media_simples,4,0.0146,2026/04/30
2026-06-19,2026-04-30,04/2026,RF DI,OUTROS,Captação Líquida Dados Consolidados,EWMA_94,2,0.0204,2026/04/30
