data_captura,titulo,vencimento,preco_unitario,preco_retorno,posicao_custodia
2026-06-13,760199,2026-08-15,4774.86982693,0.00000000,5056-58-63
2026-06-13,760199,2027-05-15,4645.18363656,0.00000000,3313-87-63
2026-06-13,760199,2028-08-15,4563.05659313,0.00000000,4770-28-48
2026-06-13,760199,2029-05-15,4438.31993608,0.00000000,1643-08-00
2026-06-13,760199,2030-08-15,4394.42523403,0.00000000,4964-16-03
2026-06-13,760199,2031-05-15,4281.90906110,0.00000000,4923809
2026-06-13,760199,2032-08-15,4274.22964765,0.00000000,2355-10-62
2026-06-13,760199,2033-05-15,4178.25846859,0.00000000,1941-36-54
2026-06-13,760199,2035-05-15,4117.79948415,0.00000000,5620-66-49
2026-06-13,760199,2037-05-15,4086.34138515,0.00000000,5322213
2026-06-13,760199,2040-08-15,4076.19075121,0.00000000,3208-86-37
2026-06-13,760199,2045-05-15,3931.61374616,0.00000000,4060-52-86
2026-06-13,760199,2050-08-15,3958.34034444,0.00000000,4745-81-82
2026-06-13,760199,2055-05-15,3883.77689726,0.00000000,3165-28-28
2026-06-13,760199,2060-08-15,3914.62416120,0.00000000,2410-10-97
2026-06-13,770100,2031-01-01,7913.64878652,0.00000000,1104-09-15
2026-06-13,950197,2026-07-01,48.46057436,0.00000000,3457860
2026-06-13,950197,2027-01-01,45.17835155,0.00000000,3457860
2026-06-13,950197,2027-07-01,42.12779749,0.00000000,3457860
2026-06-13,950197,2028-01-01,39.22518692,0.00000000,3457860
2026-06-13,950197,2028-07-01,36.59106540,0.00000000,3457860
2026-06-13,950197,2029-01-01,34.12693095,0.00000000,3457860
2026-06-13,950197,2029-07-01,31.84118353,0.00000000,3025590
2026-06-13,950197,2030-01-01,29.69744146,0.00000000,3025590
2026-06-13,950197,2030-07-01,27.73137298,0.00000000,3025590
2026-06-13,950197,2031-01-01,25.83057635,0.00000000,3025590
2026-06-13,950197,2031-07-01,24.13465666,0.00000000,2881493
2026-06-13,950197,2032-01-01,22.41744499,0.00000000,2881493
2026-06-13,950197,2032-07-01,20.90450579,0.00000000,2881493
2026-06-13,950197,2033-01-01,19.46995535,0.00000000,2881493
2026-06-13,950197,2033-07-01,18.15409012,0.00000000,2583048
2026-06-13,950197,2034-01-01,16.90794825,0.00000000,2583048
2026-06-13,950197,2034-07-01,15.76296722,0.00000000,2583048
2026-06-13,950197,2035-01-01,14.72132364,0.00000000,2583048
2026-06-13,950197,2035-07-01,13.72335266,0.00000000,442002
2026-06-13,950197,2036-01-01,12.80042025,0.00000000,442002
2026-06-13,950197,2036-07-01,11.93799757,0.00000000,442002
2026-06-13,950197,2037-01-01,11.07837825,0.00000000,442002
2026-06-13,950198,2029-01-01,699.19555466,0.00000000,432270
2026-06-13,950198,2031-01-01,529.21911393,0.00000000,144097
2026-06-13,950198,2033-01-01,398.90215292,0.00000000,298445
2026-06-13,950198,2035-01-01,301.61177007,0.00000000,2141046
2026-06-13,950198,2037-01-01,226.97478524,0.00000000,442002
2026-06-13,950199,2027-01-01,1019.25671549,0.00000000,121408046
2026-06-13,950199,2029-01-01,944.86346728,0.00000000,119363364
2026-06-13,950199,2031-01-01,889.82201801,0.00000000,207054301
2026-06-13,950199,2033-01-01,846.09228583,0.00000000,9675-31-06
2026-06-13,950199,2035-01-01,813.83074213,0.00000000,116981461
2026-06-13,950199,2037-01-01,788.02358729,0.00000000,3991-17-63
2026-06-15,210100,2026-09-01,19198.21359194,0.00000000,9622070
2026-06-15,210100,2027-03-01,19189.72051127,0.00000000,2917-69-66
2026-06-15,210100,2027-09-01,19180.35467741,0.00000000,2845-29-97
2026-06-15,210100,2028-03-01,19169.27708646,0.00000000,1739-25-43
2026-06-15,210100,2028-09-01,19154.68169159,0.00000000,2035-44-27
2026-06-15,210100,2029-03-01,19137.71398211,0.00000000,1870-20-88
2026-06-15,210100,2029-09-01,19119.60837661,0.00000000,1696-96-86
2026-06-15,210100,2030-03-01,19101.86623456,0.00000000,1402-90-41
2026-06-15,210100,2030-06-01,19092.66547224,0.00000000,1039-95-64
2026-06-15,210100,2030-09-01,19082.04753097,0.00000000,1141-64-73
2026-06-15,210100,2030-12-01,19074.83769706,0.00000000,7592691
2026-06-15,210100,2031-03-01,19063.74696177,0.00000000,1227-23-87
2026-06-15,210100,2031-06-01,19052.85992867,0.00000000,9942990
2026-06-15,210100,2031-09-01,19042.84755199,0.00000000,8487474
2026-06-15,210100,2031-12-01,19022.69486133,0.00000000,6974714
2026-06-15,210100,2032-03-01,19010.76789701,0.00000000,9221040
2026-06-15,210100,2032-06-01,18989.35813104,0.00000000,1250-48-56
2026-06-15,100000,2026-07-01,992.86449813,0.00000000,225969800
2026-06-15,100000,2026-10-01,958.07087561,0.00000000,149459619
2026-06-15,100000,2027-01-01,925.61802941,0.00000000,6125058
2026-06-15,100000,2027-04-01,894.62315833,0.00000000,132909674
2026-06-15,100000,2027-07-01,863.11801013,0.00000000,119630263
2026-06-15,100000,2027-10-01,832.08682316,0.00000000,124138520
2026-06-15,100000,2028-01-01,803.64907025,0.00000000,7728-93-17
2026-06-15,100000,2028-04-01,775.83073167,0.00000000,2835-95-42
2026-06-15,100000,2028-07-01,749.68095755,0.00000000,2984-25-94
2026-06-15,100000,2029-01-01,699.19555466,0.00000000,250307087
2026-06-15,100000,2029-07-01,652.36496110,0.00000000,222222458
2026-06-15,100000,2030-01-01,608.44378557,0.00000000,158256775
2026-06-15,100000,2031-01-01,529.21911393,0.00000000,4958808
2026-06-15,100000,2032-01-01,459.29057918,0.00000000,189198287
2026-06-15,760197,2026-08-15,137.10625055,0.00000000,3587318
2026-06-15,760197,2026-11-15,134.22280037,0.00000000,3859507
2026-06-15,760197,2027-02-15,131.92122239,0.00000000,3067870
2026-06-15,760197,2027-05-15,129.50998211,0.00000000,3859507
2026-06-15,760197,2027-08-15,126.79873901,0.00000000,3067870
2026-06-15,760197,2027-11-15,124.11712509,0.00000000,3848450
2026-06-15,760197,2028-02-15,121.28388056,0.00000000,3067870
2026-06-15,760197,2028-05-15,118.76557698,0.00000000,3848450
2026-06-15,760197,2028-08-15,116.17252363,0.00000000,3067870
2026-06-15,760197,2028-11-15,113.86783176,0.00000000,3848450
2026-06-15,760197,2029-02-15,111.75211849,0.00000000,2745671
2026-06-15,760197,2029-05-15,109.59765822,0.00000000,3848450
2026-06-15,760197,2029-08-15,107.26381678,0.00000000,2745671
2026-06-15,760197,2029-11-15,105.01342693,0.00000000,3687415
2026-06-15,760197,2030-02-15,102.83562525,0.00000000,2745671
2026-06-15,760197,2030-05-15,100.82583871,0.00000000,3687415
2026-06-15,760197,2030-08-15,98.72093346,0.00000000,2745671
2026-06-15,760197,2030-11-15,96.71164440,0.00000000,3687415
2026-06-15,760197,2031-02-15,94.89386383,0.00000000,2362053
2026-06-15,760197,2031-05-15,93.21184340,0.00000000,3687415
2026-06-15,760197,2031-08-15,91.33191261,0.00000000,2362053
2026-06-15,760197,2031-11-15,89.45403884,0.00000000,3677100
2026-06-15,760197,2032-02-15,87.78480513,0.00000000,2362053
2026-06-15,760197,2032-05-15,86.08343351,0.00000000,3677100
2026-06-15,760197,2032-08-15,84.42315035,0.00000000,2362053
2026-06-15,760197,2032-11-15,82.89556374,0.00000000,3677100
2026-06-15,760197,2033-02-15,81.35440260,0.00000000,2145109
2026-06-15,760197,2033-05-15,79.94251315,0.00000000,3677100
2026-06-15,760197,2033-08-15,78.44503608,0.00000000,2145109
2026-06-15,760197,2033-11-15,77.00733764,0.00000000,3608353
2026-06-15,760197,2034-02-15,75.56078129,0.00000000,2145109
2026-06-15,760197,2034-05-15,74.30070519,0.00000000,3608353
2026-06-15,760197,2034-08-15,72.92202890,0.00000000,2145109
2026-06-15,760197,2034-11-15,71.61864725,0.00000000,3608353
2026-06-15,760197,2035-02-15,70.40661632,0.00000000,2145109
2026-06-15,760197,2035-05-15,69.20291463,0.00000000,3608353
2026-06-15,760197,2035-08-15,67.95148729,0.00000000,2145109
2026-06-15,760197,2035-11-15,66.76859953,0.00000000,1995437
2026-06-15,760197,2036-02-15,65.63225405,0.00000000,2145109
2026-06-15,760197,2036-05-15,64.57549889,0.00000000,1995437
2026-06-15,760197,2036-08-15,63.43795933,0.00000000,2145109
2026-06-15,760197,2036-11-15,62.31035086,0.00000000,1995437
2026-06-15,760197,2037-02-15,61.27516400,0.00000000,2145109
2026-06-15,760197,2037-05-15,60.31078531,0.00000000,1995437
2026-06-15,760197,2037-08-15,59.25684075,0.00000000,2145109
2026-06-15,760197,2037-11-15,58.24863499,0.00000000,1944194
2026-06-15,760197,2038-02-15,57.23972362,0.00000000,2145109
2026-06-15,760197,2038-05-15,56.24857487,0.00000000,1944194
2026-06-15,760197,2038-08-15,55.21274609,0.00000000,2145109
2026-06-15,760197,2038-11-15,54.21577699,0.00000000,1944194
2026-06-15,760197,2039-02-15,53.18023378,0.00000000,2145109
2026-06-15,760197,2039-05-15,52.23568627,0.00000000,1944194
2026-06-15,760197,2039-08-15,51.24294391,0.00000000,2145109
2026-06-15,760197,2039-11-15,50.28340671,0.00000000,1944194
2026-06-15,760197,2040-02-15,49.34425712,0.00000000,2145109
2026-06-15,760197,2040-05-15,48.44265906,0.00000000,1944194
2026-06-15,760197,2040-08-15,47.52449882,0.00000000,2145109
2026-06-15,760197,2040-11-15,46.65767415,0.00000000,1944194
2026-06-15,760197,2041-02-15,45.82131368,0.00000000,1813042
2026-06-15,760197,2041-05-15,45.04046970,0.00000000,1944194
2026-06-15,760197,2041-08-15,44.19682533,0.00000000,1813042
2026-06-15,760197,2041-11-15,43.35760727,0.00000000,1944194
2026-06-15,760197,2042-02-15,42.58485291,0.00000000,1813042
2026-06-15,760197,2042-05-15,41.87532703,0.00000000,1944194
2026-06-15,760197,2042-08-15,41.09518399,0.00000000,1813042
2026-06-15,760197,2042-11-15,40.31890137,0.00000000,1944194
2026-06-15,760197,2043-02-15,39.62673530,0.00000000,1813042
2026-06-15,760197,2043-05-15,38.93595387,0.00000000,1944194
2026-06-15,760197,2043-08-15,38.21388392,0.00000000,1813042
2026-06-15,760197,2043-11-15,37.53829608,0.00000000,1944194
2026-06-15,760197,2044-02-15,36.87525328,0.00000000,1813042
2026-06-15,760197,2044-05-15,36.23486750,0.00000000,1944194
