data_captura,data_referencia,codigo_ativo_objeto,total_series,posicao_aberta_call,posicao_aberta_put,posicao_aberta_total,put_call_ratio,posicao_coberta,posicao_descoberta,posicao_trava,strike_max_oi_call,strike_max_oi_put
2026-09-13,2026-08-28,AGRO,27,42800,59200,102000,1.3832,23100,71400,7500,23.0,21.0
2026-09-13,2026-08-28,NASD,8,26850,59930,86780,2.232,3500,76280,7000,23.0,21.25
2026-09-13,2026-08-28,GFSA,38,56851,27660,84511,0.4865,32850,46441,5220,0.99,0.74
2026-09-13,2026-08-28,TSLA,30,46100,27950,74050,0.6063,10900,41130,22020,65.0,48.0
2026-09-13,2026-08-28,TSMC,8,40200,33800,74000,0.8408,400,61600,12000,275.43,275.43
2026-09-13,2026-08-28,LAVV,25,23400,44300,67700,1.8932,12000,55300,400,10.51,10.01
2026-09-13,2026-08-28,DASA,14,23200,33000,56200,1.4224,5300,40600,10300,3.2,3.2
2026-09-13,2026-08-28,BITH,1,50000,0,50000,0.0,50000,0,0,92.5,0.0
2026-09-13,2026-08-28,LOGG,27,17400,31600,49000,1.8161,6000,42500,500,27.6,27.09
2026-09-13,2026-08-28,COCA,4,15960,22480,38440,1.4085,0,38440,0,77.14,76.14
2026-09-13,2026-08-28,MCDC,2,36670,0,36670,0.0,1280,35390,0,68.68,0.0
2026-09-13,2026-08-28,BEEM,3,20200,10100,30300,0.5,0,10100,20200,58.72,56.72
2026-09-13,2026-08-28,ITLC,10,15340,14840,30180,0.9674,12500,5540,12140,88.0,65.0
2026-09-13,2026-08-28,BERK,3,12260,17000,29260,1.3866,0,29260,0,137.0,131.0
2026-09-13,2026-08-28,HBSA,4,26000,1500,27500,0.0577,5100,22400,0,4.26,3.26
2026-09-13,2026-08-28,AAPL,13,17020,4610,21630,0.2709,2910,8220,10500,78.65,57.95
2026-09-13,2026-08-28,PTBL,4,9400,2300,11700,0.2447,7600,3700,400,3.0,3.0
2026-09-13,2026-08-28,NFLX,1,8200,0,8200,0.0,0,8200,0,8.0,0.0
2026-09-13,2026-08-28,BABA,3,0,4870,4870,0.0,0,4870,0,0.0,70.49
2026-09-13,2026-08-28,SEQL,1,0,3500,3500,0.0,0,3500,0,0.0,0.1
2026-09-13,2026-08-28,AERI,2,3000,200,3200,0.0667,2900,300,0,7.0,1.9
2026-09-13,2026-08-28,A1MD,6,2950,0,2950,0.0,1800,1150,0,340.0,0.0
2026-09-13,2026-08-28,IFCM,5,764,1100,1864,1.4398,7,1857,0,1958.95,1.2
2026-09-13,2026-08-28,PASS,1,0,1000,1000,0.0,0,1000,0,0.0,22.5
2026-09-13,2026-08-28,ENJU,2,600,0,600,0.0,600,0,0,4.8,0.0
2026-09-13,2026-08-28,ESPA,1,260,0,260,0.0,260,0,0,9.6,0.0
2026-09-13,2026-08-31,PETR,2585,480581309,487524600,968105909,1.0144,26613772,636822856,304669281,36.67,36.67
2026-09-13,2026-08-31,BBAS,1437,441360700,341982800,783343500,0.7748,13214500,521002300,249126700,17.56,17.56
2026-09-13,2026-08-31,BOVA,2024,233104563,278576107,511680670,1.1951,452179,262463362,248765129,176.0,176.0
2026-09-13,2026-08-31,VALE,1653,152595000,125479400,278074400,0.8223,8954967,159565333,109554100,80.39,78.39
2026-09-13,2026-08-31,BBDC,1198,164250600,111374700,275625300,0.6781,40213500,134149900,101261900,16.54,16.53
2026-09-13,2026-08-31,ITUB,1333,151323547,119333811,270657358,0.7886,18062937,146887806,105706615,44.53,44.53
2026-09-13,2026-08-31,CSAN,670,86882600,58431000,145313600,0.6725,6509200,78005400,60799000,4.0,7.3
2026-09-13,2026-08-31,ITSA,514,79858153,57194240,137052393,0.7162,11034229,105193951,20824213,13.81,13.81
2026-09-13,2026-08-31,B3SA,715,74247100,58006000,132253100,0.7813,9441400,50005700,72806000,20.21,20.21
2026-09-13,2026-08-31,BEEF,455,67248000,57170800,124418800,0.8501,12176400,65035000,47207400,3.87,3.87
2026-09-13,2026-08-31,ABEV,433,61224900,43541300,104766200,0.7112,6567200,60171500,38027500,16.55,16.55
2026-09-13,2026-08-31,IBOV,698,65731212,36231463,101962675,0.5512,0,27652678,74309997,210000.0,155000.0
2026-09-13,2026-08-31,MGLU,839,46513647,46306689,92820336,0.9956,2906354,48877193,41036789,11.05,4.25
2026-09-13,2026-08-31,COGN,485,48217240,43310355,91527595,0.8982,6643701,54402863,30481031,2.19,2.19
2026-09-13,2026-08-31,UGPA,254,37740300,36038900,73779200,0.9549,377000,67237900,6164300,27.5,27.5
2026-09-13,2026-08-31,AXIA,731,37011600,32730780,69742380,0.8843,2289270,42627290,24825820,56.0,56.0
2026-09-13,2026-08-31,WEGE,906,41022300,26613600,67635900,0.6488,2971600,36279300,28385000,56.94,39.87
2026-09-13,2026-08-31,SUZB,838,38526700,26558900,65085600,0.6894,1817200,40062700,23205700,53.63,41.88
2026-09-13,2026-08-31,GGBR,548,30217300,29330700,59548000,0.9707,2446800,39381300,17719900,27.62,25.37
2026-09-13,2026-08-31,SMAL,522,33688996,23660951,57349947,0.7023,85829,36053301,21210817,110.0,97.0
2026-09-13,2026-08-31,CSNA,553,23162200,33259200,56421400,1.4359,1834400,30884400,23702600,7.45,7.04
2026-09-13,2026-08-31,BPAC,740,29248116,26668513,55916629,0.9118,1885169,36313029,17718431,50.55,50.55
2026-09-13,2026-08-31,PRIO,926,32618000,21166800,53784800,0.6489,1678700,21529900,30576200,70.0,59.0
2026-09-13,2026-08-31,BBSE,722,24002900,29721900,53724800,1.2383,2552600,29927700,21244500,39.77,38.7
2026-09-13,2026-08-31,RENT,738,29735700,22546300,52282000,0.7582,4696700,26210700,21374600,36.81,37.63
2026-09-13,2026-08-31,SBSP,541,25601192,22598298,48199490,0.8827,242261,28313999,19643230,25.68,24.76
2026-09-13,2026-08-31,POMO,283,22958133,24440275,47398408,1.0646,689802,40205493,6503113,4.61,4.61
2026-09-13,2026-08-31,EQTL,501,23658700,22961500,46620200,0.9705,742300,15986400,29891500,36.99,34.24
2026-09-13,2026-08-31,USIM,663,23421400,22446700,45868100,0.9584,2090000,18700200,25077900,8.6,7.0
2026-09-13,2026-08-31,VAMO,291,21939100,22247700,44186800,1.0141,918200,35038400,8230200,3.86,2.66
2026-09-13,2026-08-31,MRVE,473,18478500,24987300,43465800,1.3522,1902334,24449566,17113900,4.65,4.65
2026-09-13,2026-08-31,CMIG,356,20422300,23002600,43424900,1.1263,2402600,25797800,15224500,11.36,9.96
2026-09-13,2026-08-31,ALOS,381,23123300,19431200,42554500,0.8403,6862500,30206800,5485200,28.05,26.55
2026-09-13,2026-08-31,MBRF,319,14238004,28210731,42448735,1.9814,685375,28527492,13235868,19.98,13.98
2026-09-13,2026-08-31,LREN,475,19717150,22084068,41801218,1.12,1104800,28883960,11812458,11.12,11.12
