data_captura,data_referencia,codigo,nome_emissor,dt_repactuacao_vencimento,indice_correcao,tx_compra,tx_venda,tx_indicativa,desvio_padrao,intervalo_indicativo_min,intervalo_indicativo_max,pu,ratio_pu_par_vne,duration,pct_reune,ref_ntnb
2026-06-05,2026-06-03,CERO19,CENTRAIS ELETRICAS DE RONDONIA S/A CERON,2029-04-15,DI + 0.85%,0.7438,0.4693,0.5676,0.0725,0.4951,0.6403,1025.809001,100.6692,599.58,,
2026-06-05,2026-06-03,CEROA2,CENTRAIS ELETRICAS DE RONDONIA S/A CERON,2029-12-15,DI + 0.95%,0.7541,0.5582,0.6016,0.1342,0.4675,0.7359,1079.282521,100.9281,674.04,,
2026-06-05,2026-06-03,CEROB2,CENTRAIS ELETRICAS DE RONDONIA S/A CERON,2031-12-15,DI + 1.1%,0.8159,0.6569,0.7219,0.0862,0.6357,0.8083,1083.967369,101.2976,868.67,,
2026-06-05,2026-06-03,CESE22,CELSE - CENTRAIS ELETRICAS DE SERGIPE S.A. (*) (**),2028-09-15,DI + 2.5%,1.0652,0.5469,0.7738,0.1051,0.6687,0.879,791.319673,101.9401,286.41,,
2026-06-05,2026-06-03,CESPA4,CESP-COMPANHIA ENERGETICA DE SAO PAULO (*),2032-08-14,DI + 0.62%,0.9704,0.7299,0.8369,0.0667,0.7703,0.9037,1032.908197,99.1604,985.51,,
2026-06-05,2026-06-03,CGASA3,COMPANHIA DE GAS DE SÃO PAULO - COMGAS (*),2028-05-15,DI + 0.45%,0.6483,0.3527,0.4774,0.0689,0.4085,0.5463,1006.718763,99.9525,439.32,,
2026-06-05,2026-06-03,CGASA5,COMPANHIA DE GAS DE SÃO PAULO - COMGAS (*),2029-03-15,DI + 0.75%,0.8152,0.5601,0.6754,0.0589,0.6165,0.7345,1028.80703,100.1709,580.89,35,
2026-06-05,2026-06-03,CGBP14,ESSENTIA PCHS S.A (*),2032-03-25,DI + 1%,1.05,0.75,0.8859,0.0482,0.8377,0.9342,960.925509,100.3415,760.57,,
2026-06-05,2026-06-03,CGOS15,EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S.A. (*),2030-03-20,DI + 1.05%,0.8363,0.5751,0.6956,0.0702,0.6254,0.7659,1037.674244,100.8015,573.05,,
2026-06-05,2026-06-03,CGOS17,EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S.A. (*),2030-08-05,DI + 1%,0.7774,0.5444,0.665,0.0433,0.6216,0.7084,1055.766787,100.8281,626.07,,
2026-06-05,2026-06-03,CGOS18,EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S.A. (*),2030-09-15,DI + 1%,0.7661,0.5461,0.6593,0.0526,0.6067,0.7121,1040.826202,100.8799,653.9,,
2026-06-05,2026-06-03,CGOS19,EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S.A. (*),2031-11-25,DI + 0.92%,0.8407,0.6,0.7191,0.044,0.6751,0.7631,1011.834847,100.7804,983.95,15,
